,author,feature,token_id,doc_id,to_report,doc_tested,len
49907,DtrH,5030,31049,DtrH|2Kgs.17,True,2Kgs.17,530
49908,DtrH,[Sp3ms],31049,DtrH|2Kgs.17,True,2Kgs.17,530
49909,DtrH,5030,31050,DtrH|2Kgs.17,True,2Kgs.17,530
49910,DtrH,3605,31051,DtrH|2Kgs.17,True,2Kgs.17,530
49911,DtrH,2374,31052,DtrH|2Kgs.17,True,2Kgs.17,530
49912,DtrH,l,31053,DtrH|2Kgs.17,True,2Kgs.17,530
49913,DtrH,559,31053,DtrH|2Kgs.17,True,2Kgs.17,530
49914,DtrH,7725,31054,DtrH|2Kgs.17,True,2Kgs.17,530
49915,DtrH,1870,31055,DtrH|2Kgs.17,True,2Kgs.17,530
49916,DtrH,m,31055,DtrH|2Kgs.17,True,2Kgs.17,530
49917,DtrH,[Sp2mp],31055,DtrH|2Kgs.17,True,2Kgs.17,530
49918,DtrH,d,31056,DtrH|2Kgs.17,True,2Kgs.17,530
49919,DtrH,7451,31056,DtrH|2Kgs.17,True,2Kgs.17,530
49920,DtrH,c,31057,DtrH|2Kgs.17,True,2Kgs.17,530
49921,DtrH,8104,31057,DtrH|2Kgs.17,True,2Kgs.17,530
49922,DtrH,[Sp1cs],31058,DtrH|2Kgs.17,True,2Kgs.17,530
49923,DtrH,4687,31058,DtrH|2Kgs.17,True,2Kgs.17,530
49924,DtrH,[Sp1cs],31059,DtrH|2Kgs.17,True,2Kgs.17,530
49925,DtrH,2708,31059,DtrH|2Kgs.17,True,2Kgs.17,530
49926,DtrH,k,31060,DtrH|2Kgs.17,True,2Kgs.17,530
49927,DtrH,3605,31060,DtrH|2Kgs.17,True,2Kgs.17,530
49928,DtrH,8451,31061,DtrH|2Kgs.17,True,2Kgs.17,530
49929,DtrH,d,31061,DtrH|2Kgs.17,True,2Kgs.17,530
49930,DtrH,834,31062,DtrH|2Kgs.17,True,2Kgs.17,530
49931,DtrH,6680,31063,DtrH|2Kgs.17,True,2Kgs.17,530
49932,DtrH,853,31064,DtrH|2Kgs.17,True,2Kgs.17,530
49933,DtrH,[Sp2mp],31065,DtrH|2Kgs.17,True,2Kgs.17,530
49934,DtrH,1,31065,DtrH|2Kgs.17,True,2Kgs.17,530
49935,DtrH,c,31066,DtrH|2Kgs.17,True,2Kgs.17,530
49936,DtrH,834,31066,DtrH|2Kgs.17,True,2Kgs.17,530
